5,1,White,1776970528.623,1776970528.623,1776970549.703
6,2,Blue,1776970561.943,1776970564.763,1776970576.563
7,7,White,1776970591.193,1776970594.533,1776970601.053
8,4,Blue,1776970610.323,1776970612.723,1776970619.823
9,5,White,1776970632.783,1776970637.453,1776970684.693
10,6,Blue,1776970695.923,1776970698.973,1776970704.173
11,3,Blue,1776970722.923,1776970726.663,1776970759.963
12,8,White,1776970775.943,1776970778.443,1776970798.843
13,1,Blue,1776970812.123,1776970826.003,1776970835.313
14,2,White,1776970848.953,1776970853.243,1776970861.583
15,7,Blue,1776970875.693,1776970877.373,1776970887.293
